Wavelength,Blue Sensitive Film Day,Orthochromatic Film Day,Panchromatic Film Day,Blue Sensitive Film Tungsten,Orthochromatic Film Tungsten,Panchromatic Film Tungsten
350,0,0,0,0,0,0
355,0,0.04,0.037,0.003,0.011,0.014
360,0,0.116,0.108,0.036,0.035,0.039
365,0,0.17,0.17,0.061,0.064,0.064
370,0,0.226,0.231,0.086,0.091,0.09
375,0,0.278,0.285,0.113,0.116,0.12
380,2.13261,0.335,0.337,0.139,0.141,0.146
385,2.463642,0.393,0.387,0.162,0.165,0.172
390,2.750112,0.43,0.432,0.184,0.189,0.193
395,3.011118,0.471,0.474,0.205,0.212,0.214
400,3.253026,0.513,0.513,0.224,0.233,0.233
405,3.46947,0.547,0.55,0.244,0.251,0.252
410,3.685914,0.58,0.58,0.265,0.27,0.27
415,3.88326,0.61,0.61,0.285,0.286,0.288
420,4.036044,0.637,0.638,0.301,0.301,0.305
425,4.188828,0.656,0.66,0.315,0.316,0.32
430,4.284318,0.676,0.676,0.33,0.33,0.334
435,4.379808,0.696,0.693,0.342,0.342,0.345
440,4.411638,0.697,0.696,0.351,0.352,0.357
445,4.430736,0.697,0.7,0.361,0.362,0.365
450,4.39254,0.693,0.696,0.367,0.37,0.372
455,4.347978,0.684,0.684,0.373,0.375,0.374
460,4.246122,0.669,0.666,0.378,0.38,0.377
465,4.131534,0.649,0.647,0.377,0.381,0.381
470,3.972384,0.621,0.622,0.376,0.381,0.384
475,3.75594,0.585,0.588,0.368,0.384,0.386
480,3.444006,0.542,0.543,0.355,0.39,0.39
485,3.049314,0.494,0.494,0.339,0.396,0.397
490,2.711916,0.459,0.461,0.308,0.407,0.408
495,2.279028,0.433,0.435,0.267,0.417,0.42
500,1.820676,0.414,0.412,0.21,0.433,0.434
505,1.196808,0.399,0.401,0.136,0.45,0.453
510,0.655698,0.397,0.399,0.052,0.469,0.471
515,0,0.398,0.4,0.002,0.487,0.488
520,0,0.402,0.402,0,0.501,0.504
525,0,0.406,0.405,0,0.516,0.517
530,0,0.411,0.409,0,0.526,0.528
535,0,0.416,0.413,0,0.535,0.538
540,0,0.421,0.417,0,0.541,0.544
545,0,0.426,0.42,0,0.544,0.548
550,0,0.423,0.419,0,0.541,0.549
555,0,0.415,0.417,0,0.533,0.553
560,0,0.402,0.405,0,0.515,0.56
565,0,0.381,0.387,0,0.492,0.57
570,0,0.351,0.367,0,0.461,0.585
575,0,0.299,0.348,0,0.417,0.605
580,0,0.246,0.336,0,0.353,0.627
585,0,0.192,0.328,0,0.285,0.651
590,0,0.086,0.329,0,0.199,0.677
595,0,0,0.33,0,0.083,0.707
600,0,0,0.338,0,0,0.739
605,0,0,0.346,0,0,0.759
610,0,0,0.356,0,0,0.773
615,0,0,0.367,0,0,0.786
620,0,0,0.378,0,0,0.791
625,0,0,0.387,0,0,0.794
630,0,0,0.393,0,0,0.791
635,0,0,0.389,0,0,0.779
640,0,0,0.378,0,0,0.763
645,0,0,0.359,0,0,0.737
650,0,0,0.33,0,0,0.692
655,0,0,0.293,0,0,0.639
660,0,0,0.239,0,0,0.554
665,0,0,0.175,0,0,0.46
670,0,0,0.098,0,0,0.338
675,0,0,0,0,0,0.18
680,0,0,0,0,0,0.058
685,0,0,0,0,0,0
690,0,0,0,0,0,0
695,0,0,0,0,0,0
700,0,0,0,0,0,0
705,0,0,0,0,0,0
710,0,0,0,0,0,0
715,0,0,0,0,0,0
720,0,0,0,0,0,0
725,0,0,0,0,0,0
730,0,0,0,0,0,0
735,0,0,0,0,0,0
740,0,0,0,0,0,0
745,0,0,0,0,0,0
750,0,0,0,0,0,0
755,0,0,0,0,0,0
760,0,0,0,0,0,0
765,0,0,0,0,0,0
770,0,0,0,0,0,0
775,0,0,0,0,0,0
780,0,0,0,0,0,0