Wavelength,HVS Luminousity
350,0
355,0
360,0
365,0
370,0
375,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0.000415
391,0.000503
392,0.000608
393,0.000734
394,0.000884
395,0.00106
396,0.00127
397,0.0015
398,0.00178
399,0.0021
400,0.00245
401,0.00285
402,0.0033
403,0.0038
404,0.00435
405,0.00497
406,0.00566
407,0.00642
408,0.00725
409,0.00814
410,0.00908
411,0.0101
412,0.0111
413,0.0121
414,0.0132
415,0.0143
416,0.0155
417,0.0166
418,0.0179
419,0.0191
420,0.0203
421,0.0214
422,0.0226
423,0.0237
424,0.0249
425,0.0261
426,0.0274
427,0.0287
428,0.0302
429,0.0317
430,0.0332
431,0.0348
432,0.0364
433,0.0381
434,0.0398
435,0.0416
436,0.0434
437,0.0452
438,0.047
439,0.0487
440,0.0503
441,0.0519
442,0.0533
443,0.0547
444,0.0561
445,0.0574
446,0.0589
447,0.0603
448,0.0618
449,0.0633
450,0.0647
451,0.0661
452,0.0676
453,0.069
454,0.0706
455,0.0724
456,0.0744
457,0.0766
458,0.0791
459,0.082
460,0.0851
461,0.0887
462,0.0927
463,0.0969
464,0.101
465,0.106
466,0.111
467,0.116
468,0.12
469,0.125
470,0.13
471,0.135
472,0.139
473,0.144
474,0.149
475,0.154
476,0.158
477,0.163
478,0.168
479,0.174
480,0.179
481,0.184
482,0.19
483,0.195
484,0.201
485,0.206
486,0.212
487,0.218
488,0.224
489,0.231
490,0.238
491,0.246
492,0.255
493,0.264
494,0.274
495,0.285
496,0.296
497,0.309
498,0.321
499,0.334
500,0.348
501,0.363
502,0.378
503,0.394
504,0.411
505,0.428
506,0.445
507,0.464
508,0.482
509,0.501
510,0.52
511,0.54
512,0.56
513,0.58
514,0.6
515,0.621
516,0.641
517,0.661
518,0.681
519,0.7
520,0.718
521,0.735
522,0.751
523,0.766
524,0.781
525,0.795
526,0.808
527,0.821
528,0.834
529,0.846
530,0.858
531,0.868
532,0.878
533,0.888
534,0.898
535,0.907
536,0.917
537,0.927
538,0.937
539,0.946
540,0.954
541,0.962
542,0.968
543,0.974
544,0.978
545,0.981
546,0.984
547,0.985
548,0.986
549,0.988
550,0.989
551,0.991
552,0.993
553,0.996
554,0.998
555,0.999
556,1
557,1
558,0.999
559,0.998
560,0.997
561,0.996
562,0.995
563,0.994
564,0.992
565,0.99
566,0.988
567,0.985
568,0.982
569,0.978
570,0.973
571,0.968
572,0.963
573,0.957
574,0.95
575,0.942
576,0.934
577,0.924
578,0.915
579,0.905
580,0.896
581,0.888
582,0.881
583,0.874
584,0.866
585,0.859
586,0.85
587,0.842
588,0.832
589,0.822
590,0.812
591,0.801
592,0.79
593,0.778
594,0.766
595,0.754
596,0.742
597,0.73
598,0.717
599,0.705
600,0.692
601,0.679
602,0.666
603,0.653
604,0.64
605,0.627
606,0.614
607,0.6
608,0.586
609,0.572
610,0.558
611,0.545
612,0.531
613,0.517
614,0.503
615,0.49
616,0.476
617,0.462
618,0.449
619,0.436
620,0.423
621,0.41
622,0.398
623,0.386
624,0.373
625,0.361
626,0.348
627,0.336
628,0.323
629,0.31
630,0.298
631,0.286
632,0.274
633,0.263
634,0.252
635,0.242
636,0.231
637,0.222
638,0.212
639,0.203
640,0.194
641,0.186
642,0.178
643,0.17
644,0.162
645,0.155
646,0.147
647,0.14
648,0.133
649,0.126
650,0.119
651,0.113
652,0.107
653,0.101
654,0.0952
655,0.0898
656,0.0847
657,0.0798
658,0.0752
659,0.0709
660,0.0667
661,0.0628
662,0.059
663,0.0555
664,0.0522
665,0.049
666,0.046
667,0.0432
668,0.0405
669,0.038
670,0.0356
671,0.0333
672,0.0312
673,0.0292
674,0.0273
675,0.0255
676,0.0239
677,0.0223
678,0.0208
679,0.0194
680,0.0181
681,0.0168
682,0.0157
683,0.0146
684,0.0136
685,0.0126
686,0.0117
687,0.0109
688,0.0101
689,0.00933
690,0.00866
691,0.00805
692,0.00748
693,0.00696
694,0.00648
695,0.00603
696,0.00561
697,0.00522
698,0.00485
699,0.00451
700,0.0042
701,0.0039
702,0.00363
703,0.00337
704,0.00313
705,0.00291
706,0.0027
707,0.00251
708,0.00232
709,0.00215
710,0.002
711,0.00185
712,0.00171
713,0.00159
714,0.00147
715,0.00137
716,0.00127
717,0.00118
718,0.00109
719,0.00102
720,0.000945
721,0.000878
722,0.000815
723,0.000757
724,0.000703
725,0.000654
726,0.000608
727,0.000565
728,0.000526
729,0.00049
730,0.000456
731,0.000424
732,0.000395
733,0.000367
734,0.000342
735,0.000318
736,0.000296
737,0.000275
738,0.000256
739,0.000238
740,0.000222
741,0.000207
742,0.000193
743,0.00018
744,0.000168
745,0.000157
746,0.000146
747,0.000136
748,0.000127
749,0.000118
750,0.00011
751,0.000103
752,0.0000961
753,0.0000897
754,0.0000838
755,0.0000783
756,0.0000731
757,0.0000683
758,0.0000639
759,0.0000597
760,0.0000558
761,0.0000521
762,0.0000487
763,0.0000455
764,0.0000426
765,0.0000398
766,0.0000373
767,0.0000349
768,0.0000326
769,0.0000306
770,0.0000286
771,0.0000268
772,0.000025
773,0.0000234
774,0.0000219
775,0.0000205
776,0.0000192
777,0.000018
778,0.0000169
779,0.0000159
780,0.0000149